Time;Nthreads
5.673450;1
3.143628;2
1.991863;4
1.692609;6
1.678929;8
1.780233;10
1.742027;12
1.789982;14
1.738235;16
5.597702;1
3.232727;2
2.029741;4
1.669019;6
1.606548;8
1.669273;10
1.638889;12
1.663006;14
1.848791;16
5.629698;1
3.134445;2
2.115007;4
1.753402;6
1.675236;8
1.687210;10
1.634020;12
1.628289;14
1.633102;16
5.612240;1
3.051188;2
2.055099;4
1.766341;6
1.713547;8
1.750733;10
1.730602;12
1.725449;14
1.728048;16
5.623757;1
3.185742;2
2.265541;4
1.773992;6
1.726676;8
1.768436;10
1.742399;12
1.753460;14
1.739712;16
5.637231;1
3.429764;2
2.158005;4
1.816482;6
1.727431;8
1.717680;10
1.697870;12
1.753421;14
1.717946;16
5.633062;1
3.288132;2
2.143374;4
1.746969;6
1.660490;8
1.773070;10
1.883931;12
1.660371;14
1.673509;16
5.631136;1
3.157816;2
2.129233;4
1.773175;6
1.668851;8
1.732338;10
1.698391;12
1.687743;14
1.687098;16
5.635290;1
3.175236;2
2.107618;4
1.788145;6
1.691597;8
1.758951;10
1.797697;12
1.747449;14
1.747104;16
5.655218;1
3.249943;2
2.174632;4
1.800955;6
1.681458;8
1.766345;10
1.743368;12
1.705934;14
1.685807;16
5.638327;1
3.243272;2
2.254774;4
1.785310;6
1.692989;8
1.808591;10
2.392187;12
1.958099;14
1.978093;16
16.263300;1
8.830916;2
5.878116;4
5.025546;6
3.094026;8
2.286520;10
2.497833;12
2.192207;14
1.854982;16
16.614468;1
9.489214;2
5.082571;4
3.334746;6
2.552352;8
3.038877;10
2.468757;12
2.340214;14
1.912835;16
16.661053;1
8.171054;2
5.317550;4
4.124224;6
2.212955;8
2.180177;10
2.443958;12
1.925147;14
1.768285;16
17.424242;1
8.174102;2
4.138503;4
5.131919;6
2.868890;8
2.632627;10
2.288709;12
1.985597;14
1.879567;16
16.257609;1
9.155887;2
4.901869;4
3.552485;6
2.731247;8
2.506529;10
2.270350;12
2.329404;14
1.982823;16
20.706795;1
9.174811;2
4.143301;4
3.357846;6
2.374250;8
2.710974;10
2.578860;12
2.187075;14
1.879530;16
16.264846;1
12.094442;2
4.504658;4
3.928043;6
2.751812;8
3.239701;10
2.255721;12
2.201422;14
1.800936;16
16.520881;1
12.090269;2
4.741664;4
3.160170;6
3.550462;8
2.075809;10
2.733124;12
2.315289;14
2.047988;16
16.816809;1
8.210956;2
7.017923;4
3.654154;6
3.967219;8
3.026750;10
2.389730;12
1.919484;14
1.993146;16
16.260194;1
9.751374;2
5.361046;4
4.706401;6
2.147945;8
2.152675;10
2.335329;12
1.929477;14
1.845281;16
