Time;Nthreads
5.464463;1
3.081117;2
1.955957;4
1.581125;6
1.562783;8
1.242114;10
1.520141;12
1.685463;14
1.679265;16
5.629516;1
3.274141;2
2.172019;4
1.804342;6
1.695529;8
2.006493;10
1.801780;12
1.855301;14
2.303360;16
5.905388;1
3.330587;2
2.149207;4
1.850188;6
1.927046;8
1.420751;10
1.855289;12
1.756573;14
1.733628;16
5.645845;1
3.021199;2
1.892439;4
1.680878;6
1.559458;8
1.494500;10
1.744673;12
1.948063;14
1.642347;16
5.534303;1
3.296669;2
2.327843;4
2.209375;6
1.652520;8
1.799453;10
1.927089;12
1.711714;14
1.755974;16
5.547701;1
3.182796;2
2.072745;4
1.657426;6
1.654247;8
1.595395;10
1.688768;12
1.360500;14
1.673256;16
5.495933;1
3.180764;2
2.205778;4
1.697832;6
1.622529;8
1.508300;10
1.974430;12
1.976544;14
2.515463;16
5.492974;1
3.052519;2
1.961462;4
1.751110;6
1.618876;8
1.355379;10
1.434448;12
1.422615;14
1.550272;16
5.539051;1
3.151562;2
2.013381;4
1.771983;6
1.613091;8
1.589943;10
1.641179;12
0.980836;14
1.736296;16
5.645996;1
3.211693;2
1.967313;4
2.028847;6
1.663746;8
1.549840;10
1.705975;12
1.642410;14
1.708349;16
