Time;Nthreads;MatrixSize
0.000980;2;16*18*22*24
0.001754;1;16*18*22*24
0.000581;4;16*18*22*24
0.000217;128;16*18*22*24
0.000386;8;16*18*22*24
0.000289;16;16*18*22*24
0.000199;32;16*18*22*24
0.034686;1;40*50*70*80
0.017444;2;40*50*70*80
0.008833;4;40*50*70*80
0.000270;64;16*18*22*24
0.004558;8;40*50*70*80
0.000249;128;16*18*22*24
0.001960;16;40*50*70*80
0.001081;32;40*50*70*80
0.000185;128;40*50*70*80
0.000220;64;40*50*70*80
0.853456;2;180*190*210*220
1.706714;1;180*190*210*220
0.208764;8;180*190*210*220
0.426812;4;180*190*210*220
0.104507;16;180*190*210*220
0.047617;32;180*190*210*220
0.009705;128;180*190*210*220
0.019158;64;180*190*210*220
95.802945;2;800*900*1100*1200
47.902240;4;800*900*1100*1200
191.605586;1;800*900*1100*1200
23.951192;8;800*900*1100*1200
5.987959;32;800*900*1100*1200
11.975678;16;800*900*1100*1200
2.874276;64;800*900*1100*1200
1.437287;128;800*900*1100*1200
766.163745;2;1600*1800*2200*2400
191.541538;8;1600*1800*2200*2400
95.770675;16;1600*1800*2200*2400
383.082832;4;1600*1800*2200*2400
47.885285;32;1600*1800*2200*2400
23.942194;64;1600*1800*2200*2400
11.492187;128;1600*1800*2200*2400
