Time;Nthreads;MatrixSize
0.000072;1;16*18*22*24
0.000044;2;16*18*22*24
0.000042;3;16*18*22*24
0.000035;4;16*18*22*24
0.001439;1;40*50*70*80
0.000547;2;40*50*70*80
0.000465;3;40*50*70*80
0.000501;4;40*50*70*80
0.052131;1;180*190*210*220
0.025757;2;180*190*210*220
0.016731;3;180*190*210*220
0.013027;4;180*190*210*220
5.494055;1;800*900*1100*1200
3.068509;2;800*900*1100*1200
2.174010;3;800*900*1100*1200
1.790484;4;800*900*1100*1200
45.082634;1;1600*1800*2200*2400
25.740217;2;1600*1800*2200*2400
18.402548;3;1600*1800*2200*2400
17.210134;4;1600*1800*2200*2400
