Time;Nthreads
5.646450;1
3.116579;2
1.981344;4
1.612501;6
1.512812;8
1.577608;10
1.543905;12
1.529956;14
1.565665;16
5.632375;1
2.943967;2
1.957037;4
1.666908;6
1.565168;8
1.640129;10
1.600493;12
1.595799;14
1.577989;16
5.936117;1
3.214350;2
2.090041;4
1.686081;6
1.740973;8
1.677954;10
1.646018;12
1.629559;14
1.627266;16
5.738804;1
3.047395;2
2.059839;4
1.695833;6
1.565698;8
1.660470;10
1.618924;12
1.596761;14
1.609165;16
5.638578;1
3.173845;2
2.011769;4
1.668895;6
1.598279;8
1.695104;10
1.672524;12
2.146059;14
1.647855;16
5.685301;1
3.125729;2
2.134155;4
1.711827;6
1.588335;8
1.665539;10
1.628735;12
1.747464;14
1.671515;16
5.648959;1
3.237218;2
2.141612;4
1.773251;6
1.661686;8
1.721182;10
1.708256;12
1.680414;14
1.656125;16
5.635115;1
3.185313;2
2.099044;4
1.696784;6
1.811060;8
2.472011;10
1.689190;12
1.615069;14
1.638517;16
5.624683;1
3.253533;2
2.156061;4
1.721694;6
1.619500;8
1.657469;10
1.637481;12
1.623111;14
1.640139;16
5.657315;1
3.169341;2
2.005286;4
1.695280;6
1.600133;8
1.727351;10
1.633251;12
1.728421;14
1.629965;16
