Time;Nthreads;MatrixSize
0.063621;0.063843;0.063927;8;16*18*22*24
1;16*18*22*24
0.063703;2;16*18*22*24
4;16*18*22*24
0.001054;8;40*50*70*80
0.002048;2;40*50*70*80
0.002701;4;40*50*70*80
0.003092;1;40*50*70*80
0.032982;8;180*190*210*220
0.046578;4;180*190*210*220
0.126205;2;180*190*210*220
0.197828;1;180*190*210*220
2.573946;8;800*900*1100*1200
0.000404;16;16*18*22*24
0.000930;16;40*50*70*80
4.689752;4;800*900*1100*1200
0.000851;32;16*18*22*24
0.030187;16;180*190*210*220
0.001414;32;40*50*70*80
8.771390;2;800*900*1100*1200
0.038854;32;180*190*210*220
2.187703;16;800*900*1100*1200
0.029284;64;16*18*22*24
0.013092;64;40*50*70*80
0.042048;64;180*190*210*220
2.059824;32;800*900*1100*1200
17.102313;1;800*900*1100*1200
1.628995;64;800*900*1100*1200
0.009251;128;16*18*22*24
0.009595;128;40*50*70*80
0.023181;128;180*190*210*220
1.048763;128;800*900*1100*1200
